"","ID","Model","AIC","AICc","BIC","Response.var","Response.group","Curve.classification"
"112","23","Briere2","31.2191085755822","51.2191085755822","30.9486593208588","net photosynthesis rate","Photosynthesis","unimodal"
"113","23","Briere",NA,NA,NA,"net photosynthesis rate","Photosynthesis","unimodal"
"114","23","Cubic","26.467229783928","46.467229783928","26.1967805292045","net photosynthesis rate","Photosynthesis","unimodal"
"115","23","Quadratic","25.3210790489602","33.3210790489602","25.1047196451814","net photosynthesis rate","Photosynthesis","unimodal"
"116","24","Yan and Hunt","7.17837672743729","27.1783767274373","6.90792747271385","net photosynthesis rate","Photosynthesis","unimodal"
"117","24","Briere2","12.2234099567256","32.2234099567256","11.9529607020022","net photosynthesis rate","Photosynthesis","unimodal"
"118","24","Briere","52.116802418389","60.116802418389","51.9004430146102","net photosynthesis rate","Photosynthesis","unimodal"
"119","24","Cubic","7.45159315449946","27.4515931544995","7.18114389977603","net photosynthesis rate","Photosynthesis","unimodal"
"120","24","Quadratic","18.3404958013221","26.3404958013221","18.1241363975433","net photosynthesis rate","Photosynthesis","unimodal"
"121","25","Yan and Hunt","79.5061981030005","85.2204838172863","81.9307313519406","gross photosynthesis rate","Photosynthesis","unimodal"
"122","25","Briere2","80.5145153904396","86.2288011047253","82.9390486393796","gross photosynthesis rate","Photosynthesis","unimodal"
"123","25","Briere","93.6456131576319","96.6456131576319","95.5852397567839","gross photosynthesis rate","Photosynthesis","unimodal"
"124","25","Cubic","79.3687524599297","85.0830381742154","81.7932857088697","gross photosynthesis rate","Photosynthesis","unimodal"
"125","25","Quadratic","77.6175301021527","80.6175301021527","79.5571567013047","gross photosynthesis rate","Photosynthesis","unimodal"
"126","26","Yan and Hunt","-40.7768419977517","-27.4435086644183","-40.3796342893525","gross photosynthesis rate","Photosynthesis","rising"
"127","26","Briere2","-40.2270705991253","-26.893737265792","-39.8298628907261","gross photosynthesis rate","Photosynthesis","rising"
"128","26","Briere","-42.1497545451713","-36.1497545451713","-41.831988378452","gross photosynthesis rate","Photosynthesis","rising"
