"","ID","Temperature","Quadratic.points","Cubic.points","Briere.points"
"16414",316,51.812784,6.58747300645238,-3.92263800091834,NA
"16415",316,53.812784,6.73332934695866,-7.12959369463965,NA
"16416",316,55.812784,6.86070145330013,-10.9650800759097,NA
"16417",316,57.812784,6.96958932547682,-15.4778423599466,NA
"16418",316,59.812784,7.05999296348869,-20.7166257619689,NA
"16419",316,61.812784,7.13191236733577,-26.7301754971947,NA
"16420",316,63.812784,7.18534753701805,-33.5672367808424,NA
"16421",316,65.812784,7.22029847253552,-41.2765548281302,NA
"16422",316,67.812784,7.2367651738882,-49.9068748542764,NA
"16423",316,69.812784,7.23474764107607,-59.5069420744994,NA
"16424",316,71.812784,7.21424587409915,-70.1255017040174,NA
"16425",316,73.812784,7.17525987295742,-81.8112989580487,NA
"16426",316,75.812784,7.11778963765089,-94.6130790518117,NA
"16427",316,77.812784,7.04183516817956,-108.579587200524,NA
"16428",316,79.812784,6.94739646454343,-123.759568619405,NA
"16429",316,81.812784,6.83447352674251,-140.201768523673,NA
"16430",316,83.812784,6.70306635477678,-157.954932128545,NA
"16431",316,85.812784,6.55317494864624,-177.06780464924,NA
"16432",316,87.812784,6.38479930835091,-197.589131300977,NA
"16433",317,-14.187216,-11.8649192954518,113.439496319432,4.89163121875266
"16434",317,-12.187216,-10.7987860277699,97.2872841285575,3.79953738507459
"16435",317,-10.187216,-9.7660907364309,82.7294125502567,2.8482597473394
"16436",317,-8.187216,-8.7668334214348,69.6863657060662,2.03283889034374
"16437",317,-6.187216,-7.80101408278162,58.0786277175218,1.34815951278045
"16438",317,-4.187216,-6.86863272047135,47.8266827061596,0.788936564391551
"16439",317,-2.187216,-5.96968933450399,38.8510147935156,0.349699381853784
"16440",317,-0.187215999999999,-5.10418392487954,31.0721081011256,0.0247734213909374
"16441",317,1.812784,-4.27211649159801,24.4104467505257,-0.191740918515151
"16442",317,3.812784,-3.47348703465939,18.7865148632519,-0.305993029438326
"16443",317,5.812784,-2.70829555406368,14.12079656084,-0.32441121113683
"16444",317,7.812784,-1.97654204981088,10.3337759648261,-0.253737258643618
"16445",317,9.812784,-1.278226521901,7.34593719674606,-0.101067949676594
"16446",317,11.812784,-0.61334897033403,5.07776437813596,0.126094647764029
"16447",317,13.812784,0.0180906048900293,3.44974163053171,0.419781429743592
"16448",317,15.812784,0.616092203771176,2.3823530754693,0.771479436993694
"16449",317,17.812784,1.18065582630941,1.79608283448468,1.1720348077642
"16450",317,19.812784,1.71178147250473,1.61141502911382,1.61152802539114
"16451",317,21.812784,2.20946914235714,1.74883378089268,2.07911032270981
"16452",317,23.812784,2.67371883586664,2.12882321135724,2.5627841449645
"16453",317,25.812784,3.10453055303322,2.67186744204347,3.04910048815
"16454",317,27.812784,3.50190429385689,3.29845059448732,3.52272808607375
"16455",317,29.812784,3.86584005833765,3.92905679022476,3.96581612542682
"16456",317,31.812784,4.1963378464755,4.48417015079176,4.35700593032182
"16457",317,33.812784,4.49339765827044,4.8842747977243,4.66980440966475
"16458",317,35.812784,4.75701949372246,5.04985485255833,4.86969225201216
"16459",317,37.812784,4.98720335283157,4.90139443682982,4.90841451574508
"16460",317,39.812784,5.18394923559777,4.35937767207473,4.71085823645844
"16461",317,41.812784,5.34725714202105,3.34428867982905,4.13646912319379
"16462",317,43.812784,5.47712707210142,1.77661158162872,2.78936218173733
"16463",317,45.812784,5.57355902583888,-0.423169500990271,NA
"16464",317,47.812784,5.63655300323343,-3.33457044649197,NA
"16465",317,49.812784,5.66610900428507,-7.03710713334041,NA
"16466",317,51.812784,5.66222702899379,-11.6102954399996,NA
"16467",317,53.812784,5.6249070773596,-17.1336512449336,NA
"16468",317,55.812784,5.5541491493825,-23.6866904266065,NA
"16469",317,57.812784,5.44995324506248,-31.3489288634822,NA
"16470",317,59.812784,5.31231936439956,-40.1998824340248,NA
"16471",317,61.812784,5.14124750739372,-50.3190670166984,NA
"16472",317,63.812784,4.93673767404497,-61.7859984899669,NA
"16473",317,65.812784,4.6987898643533,-74.6801927322944,NA
"16474",317,67.812784,4.42740407831873,-89.081165622145,NA
"16475",317,69.812784,4.12258031594124,-105.068433037983,NA
"16476",317,71.812784,3.78431857722084,-122.721510858271,NA
